name,name_cn,info,score,score_count,rank,type,tags
Fate/Grand Order -MOONLIGHT/LOSTROOM-,Fate/Grand Order -MOONLIGHT/LOSTROOM-,1话 /  2017年12月31日,5.7,(1376人评分),Rank 8224,,"TV,日本,游戏改,Type-Moon,Fate,OVA,2017,Lay-duce,FGO,2017年12月,奈须蘑菇,TVSP,奇幻,战斗,2017年,奈須きのこ,SP,剧场版,手游改,日本动画,2017年10月,2018年1月,动画,高桥李依,特别篇,续作,塚田拓郎"
Fate/Grand Order×冰室之天地～最强伟人7人篇～,Fate/Grand Order×氷室の天地～7人の最強偉人編～,1话 /  2017年12月31日 / 永森雅人,6.1,(498人评分),Rank 6654,,"TV,日本,游戏改,ufotable,Type-Moon,Fate,2017,搞笑,OVA,TVSP,2017年12月,SP,短片,高桥李依,动画,奇幻,漫改,2018年1月,战斗,漫画改,2017年,FGO,日本动画,2017年10月,短篇,マンガ原作"
公牛历险记,Ferdinand,1话 /  2017年12月15日 / Carlos Saldanha,6.3,(32人评分),,,"剧场版,欧美,2017,美国,动画电影,电影,3D,励志,2010s,治愈,重制,原创,无,蓝天,CarlosSaldanha,BlueSky,蓝天绝唱,撞C奶,蓝天工作室,7WA"
找到花了！,Flower Found!,1话 /  2017年10月18日 / Jorn Leeuwerink,,(少于10人评分),,,"短片,原创,欧美,WEB,讽刺,2017,动画短片,动画,Short"
森林妖精五人组,FOREST FAIRY FIVE,13话 /  2017年1月6日,,(少于10人评分),,,"TV,日本,空"
搞笑幻想15,FUN 'N' FANTASY XV,1话 /  2017年9月2日 / Matthew Shezmen,,(少于10人评分),,,"WEB,同人,短片,2017,欧美,搞笑"
Fundamentals of Magic,,5话 /  2017年9月1日,,(少于10人评分),,,"WEB,欧美,2017年,原创,2017年9月"
权力的游戏：征服与反抗,Game of Thrones: Conquest and Rebellion,1话 /  2017年12月14日,,(少于10人评分),,,"奇幻,欧美,前传,TV,小说改,短片,AM"
花园派对,Garden Party,2017-01-28(昂热电影节) / Victor Caire、Gabriel Grapperon、Vincent Bayoux、Théophile Dufresne、Lucas Navarro、Florian Babikian,6.6,(16人评分),,,"短片,2017,欧美,法国,2010s,AM"
猫姑娘,Gatta Cenerentola,"1话 /  2017-09-14 / Ivan Cappiello, Marino Guarnieri, Dario Sansone, Alessandro Rak",,(少于10人评分),,,"剧场版,2017,欧美,3D,Cappiello,意大利"
Geoff The,,2017-09-03,,,,,空
魅力英雄,Glamorous Heroes,10话 /  2017年10月6日 / 布施木一喜 / 中條元史 / 濱口頌平,1.9,(67人评分),Rank 9291,,"TV,日本,游戏改,泡面番,2017,原创,战斗,泡面,动画,游戏,短片,魔幻,Glamorous_Heroes,第1季,二〇一七年,DROP,tysb,锻炼心之壁,GlamorousHeroes,高本宣弘,布施木一喜"
Glass the movie,,1话 /  2017年7月1日,7.1,(116人评分),Rank 2281,,
GO! Cartoons,,12话 /  2017年11月7日,,(少于10人评分),,,"WEB,空"
哥斯拉 怪兽行星,GODZILLA 怪獣惑星,1话 /  2017年11月17日 / 静野孔文、瀬下寛之,6.1,(1020人评分),Rank 6846,,"科幻,剧场版,原创,虚渊玄,2017,PolygonPictures,哥斯拉,静野孔文,3D,2017年,宫野真守,杉田智和,战斗,Netflix,动画电影,日本动画,电影,日本,虚淵玄,樱井孝宏,改编,动画,WEB,2010-2019,濑下宽之"
海洋奇缘：钓鱼,Gone Fishing,1话 /  2017年2月21日 / Ron Clements、John Musker、Don Hall、Chris Williams,,(少于10人评分),,,"欧美,迪士尼,短片,WaltDisneyAnimation"
